# beta, U, e_U, chi e_chi [calculated 2025-01-24 11:02:37.499476 on topology: hexagonal, using blocked data with block length: 100]
0.6009789484624083,2.0513475539550474,0.0026846883360840497,18.290937870929564,0.03235770290814946
0.6024075198909797,2.0241285218293195,0.002725973302991887,18.73779051083375,0.03367700916748075
0.6038360913195512,1.9981232570902119,0.0023493682038192186,19.102362423024633,0.03500220390149396
0.6052646627481226,1.9761476814158316,0.0024782304944084167,19.46447122799375,0.0380992276808261
0.606693234176694,1.9509647297520136,0.002226660916064174,19.894646303517906,0.03748685963242208
0.6081218056052654,1.9254997718193931,0.0024319477315333216,20.270814896147748,0.03645974386093695
0.6095503770338369,1.900662351689239,0.0023035798117092454,20.64058237737679,0.03620112009103356
0.6109789484624083,1.8804825764416528,0.0023768846216352304,20.96225282366524,0.03501949664288063
0.6124075198909797,1.8526920709992483,0.002125848474799355,21.390738471652448,0.032698908866967615
0.6138360913195512,1.828643694324841,0.002373455354804616,21.668746059858723,0.03199863342749082
0.6152646627481226,1.8008970284349577,0.002202056126666798,22.012074236337774,0.031379000501450774
0.616693234176694,1.7764452351971036,0.002334883064329717,22.31546400113399,0.03442952894330843
0.6181218056052654,1.752360177784125,0.002079191959972853,22.6340268293323,0.03372293081196654
0.6195503770338369,1.7291061285351892,0.0019127696737431532,22.938690435593124,0.036343286750654645
0.6209789484624083,1.7019697063637067,0.0020663758968357255,23.176414080447717,0.03297797377901937
0.6224075198909798,1.680860296499037,0.0020441083765006213,23.484016761280614,0.034171733762639524
0.6238360913195512,1.650617053097026,0.0018094555183556414,23.65674115555032,0.031493688554014874
0.6252646627481226,1.6301438886378903,0.0017635822403642574,23.872841288429946,0.03209179087400532
0.626693234176694,1.604166601895558,0.0016621294936145054,24.03755470178074,0.03486103271553112
0.6281218056052654,1.5823820535562025,0.0016215195060927294,24.19426585727039,0.03111885313262855
0.6295503770338369,1.5622150882405452,0.0014912808023493844,24.277380803321158,0.0298484655585618
0.6309789484624083,1.5347427529959163,0.0016093261499749204,24.266310571071912,0.03443482450187912
0.6324075198909798,1.5145261140389545,0.0015107649414286518,24.294676845523,0.04035224018581682
0.6338360913195512,1.4902295240162697,0.0015810135797698617,24.34238733996652,0.037041210254990485
0.6352646627481227,1.472299893428996,0.0013053166603898287,24.294201890783107,0.033606156719074944
0.636693234176694,1.4525700579343452,0.0014120602140321092,24.275838978399953,0.038762245983803394
0.6381218056052654,1.4310083395563933,0.0014720659649275576,24.06423551078076,0.04299191265132794
0.6395503770338369,1.4095311845492644,0.0012196052253041188,23.862865343847652,0.0398641616863457
0.6409789484624083,1.3884069959976453,0.0011961211261729986,23.599754867749766,0.039855577580678925
0.6424075198909798,1.3736829956980754,0.001281622167360555,23.42288031337352,0.04688531328100043
0.6438360913195512,1.3552169611736329,0.0011089085551230385,23.136199790660438,0.04737736686235064
0.6452646627481227,1.335695966294203,0.0010694903550327222,22.74176168056039,0.04693565735488657
0.646693234176694,1.320493183362024,0.0009190599765439086,22.475126052664397,0.04268256978091734
0.6481218056052654,1.3017887177545693,0.0009797981160123061,21.957650829149642,0.044721184557360016
0.6495503770338369,1.286736782684681,0.0008832213957751063,21.483965930142325,0.047521668792017156
0.6509789484624083,1.2721153381850636,0.000942884878930707,21.081484707380362,0.05380020314647853
0.6524075198909798,1.2588125519102529,0.0009580400579380673,20.57606819145972,0.05521214974304183
0.6538360913195512,1.2438955343174558,0.0008220705583387118,20.053532641963344,0.050758579497344435
0.6552646627481227,1.231161474743837,0.0007210337114083756,19.520313195997385,0.04349261291410702
0.656693234176694,1.2175444660719832,0.0007957549394929669,18.840850923275898,0.05360221617047805
0.6581218056052655,1.2065258364751394,0.000719462302120338,18.357484557783987,0.051587478186418095
0.6595503770338369,1.1937837001427105,0.0006839147650776489,17.680994764280733,0.053127210628435076
0.6609789484624083,1.1838752858545258,0.0007933204336440596,17.133156410247707,0.06202843121606805
0.6624075198909798,1.1748827999544487,0.0006754307114565818,16.650911984767713,0.05500582868638304
0.6638360913195512,1.1638597925095344,0.0005613924276225393,15.885417265179802,0.04961478194113241
0.6652646627481227,1.1547644567868747,0.0005666961938701168,15.360808166274742,0.05017449681686407
0.666693234176694,1.146033258929403,0.0005025466248286274,14.717475335099994,0.04745904368519986
0.6681218056052655,1.138387524808866,0.0005148845837025664,14.235490905609316,0.05048472744093288
0.6695503770338369,1.1291603923872795,0.0005065268011927512,13.483455244405196,0.05131715812824631
0.6709789484624084,1.1219828973277133,0.0005059022002717749,12.935907475185804,0.05199337538790297
