# e, |m|, m2, m4 [calculated 2025-01-20 19:15:17.649059 on topology: hexagonal]
-1.1686444444444444,0.640688888888889,0.42517640702160486,0.19747454165981065
-1.1608805555555555,0.5206833333333334,0.31768312962962963,0.130409612286872
-1.17125,0.6221333333333333,0.4127927145061729,0.1905211315440279
-1.1629416666666668,0.5773472222222222,0.35592473919753076,0.14645680334231348
-1.1687875,0.6026958333333333,0.38388005652006174,0.1687649722919887
-1.1651749999999998,0.5507444444444445,0.33469853009259265,0.1370691158311564
-1.1541388888888888,0.48715555555555556,0.2841418213734568,0.11138917953022774
-1.1512694444444442,0.490075,0.2738552835648148,0.10069456036001771
-1.1615513888888889,0.5955180555555555,0.380469009837963,0.16906538395456003
-1.1575347222222223,0.5285875,0.31616715258487654,0.12883186373151476
-1.1658555555555556,0.5696944444444445,0.3587699764660494,0.15357193327017807
-1.1675513888888889,0.5920902777777778,0.39129242766203703,0.18265865337898243
-1.1670916666666669,0.6097583333333333,0.4071928275462963,0.1943406809984128
-1.1762875,0.6200041666666667,0.4104851329089506,0.19144436143276913
-1.166851388888889,0.6170430555555556,0.401939871720679,0.1786017979197703
-1.1634083333333334,0.5992527777777777,0.3858741604938271,0.17267161586424343
-1.1634527777777777,0.6271027777777778,0.4085819459876543,0.1802765922602819
-1.1691611111111113,0.5935611111111111,0.3810688885030864,0.16965530094076176
-1.1691250000000002,0.565613888888889,0.35967521064814817,0.15964643472799647
-1.1717666666666668,0.6514500000000001,0.43725971682098774,0.20383591616244975
-1.1527902777777779,0.4780625,0.27143918885030865,0.10191149459691905
-1.1636402777777777,0.6177986111111111,0.3977389538966049,0.1739229598865841
-1.168198611111111,0.6338125,0.4110776934799383,0.18103340691742276
-1.1765305555555556,0.6770694444444445,0.46300816087962965,0.22159047871700405
-1.1744472222222222,0.6204333333333334,0.41353971875,0.19631350054184035
-1.1562388888888888,0.5145972222222222,0.3034047858796296,0.1228139721676862
-1.1747305555555554,0.6178555555555556,0.4051230416666667,0.182511577724397
-1.173426388888889,0.6520319444444445,0.4310441197916667,0.1947289725818667
-1.1655916666666666,0.5635611111111111,0.34643308063271605,0.14244422576932064
-1.1446055555555557,0.4727805555555556,0.27012765084876544,0.10355381602493052
-1.1649486111111111,0.6045347222222223,0.38642644965277784,0.16803525979188516
-1.1746527777777778,0.6428500000000001,0.4215602164351852,0.18835725960592437
-1.175451388888889,0.6722763888888887,0.4557415862268519,0.21384642125976547
-1.164102777777778,0.5805416666666666,0.35927829205246925,0.15214490610321227
-1.1594152777777778,0.5483986111111111,0.33931983198302473,0.1415724391781092
-1.1643083333333335,0.6184861111111111,0.3985310524691358,0.17476665812551487
-1.1663208333333335,0.5987291666666666,0.37524243036265437,0.1613666266044239
-1.1607152777777776,0.5719263888888889,0.3474147733410494,0.13903734158065148
-1.1620416666666666,0.5671555555555555,0.3548118452932099,0.15311719130481324
-1.1612694444444442,0.5347527777777777,0.3331795416666666,0.1474757268683153
-1.1616125000000002,0.5638458333333333,0.3497044851466049,0.1497429779798326
-1.1588,0.6052833333333334,0.3781723090277778,0.15407096797197112
-1.1669055555555556,0.6324611111111111,0.4124385991512346,0.18453544068481012
-1.1653583333333333,0.5645888888888889,0.3609819425154322,0.16192450888487311
-1.1811999999999998,0.6730999999999999,0.460670150462963,0.22382595352576698
-1.1571986111111112,0.5356819444444444,0.3123548944830247,0.12139292098183162
-1.158986111111111,0.5486555555555556,0.3312392989969136,0.1359790590915329
-1.1682333333333332,0.6446611111111111,0.42203797839506174,0.18797827039949427
-1.1752624999999999,0.6402708333333333,0.4267123520447531,0.19963361503662494
-1.1563583333333332,0.5676722222222222,0.3460018275462964,0.13904410895964223
-1.1803208333333333,0.6583208333333332,0.4430476923225308,0.20773206856576765
-1.1579236111111113,0.5652541666666667,0.34386537827932095,0.14325821032125952
-1.167125,0.572863888888889,0.36371912538580253,0.15991870438797082
-1.1798097222222221,0.6625152777777779,0.45500193576388887,0.22145595869345358
-1.173586111111111,0.6572611111111111,0.4439188229166667,0.21057636033118457
-1.1657416666666665,0.5861500000000001,0.3723637349537037,0.16097390753819468
-1.174401388888889,0.6446597222222222,0.4277865842978395,0.19732099803287373
