# e, |m|, m2, m4 [calculated 2025-01-23 18:07:55.444211 on topology: triangular]
-2.0966937499999996,0.6556031250000001,0.44194744433593747,0.2112167187417201
-2.0870187500000004,0.687940625,0.47743077246093746,0.2353215902172
-2.10829375,0.7016374999999999,0.49772937890625,0.2568054925708774
-2.0862937500000003,0.67859375,0.46964294921874994,0.23407413075254552
-2.09838125,0.69470625,0.485505638671875,0.2409767054559866
-2.0842875000000003,0.6775093750000001,0.4631137998046875,0.22173078944645946
-2.0668,0.655246875,0.4362455107421875,0.20026612505509941
-2.08380625,0.688546875,0.47794712402343753,0.23468269393011046
-2.09670625,0.6922906249999999,0.4837764775390625,0.24163612303461504
-2.09783125,0.6986624999999997,0.49097203320312494,0.2462396232334078
-2.0447,0.6181218749999999,0.40364595800781244,0.180364117280872
-2.09128125,0.6911218749999999,0.4808660244140624,0.23668014351107572
-2.08639375,0.6791437499999999,0.467222755859375,0.22550166075573025
-2.1005000000000003,0.6907125000000001,0.4824941093749999,0.2414127443543686
-2.09978125,0.676621875,0.4690265927734375,0.2348599532247947
-2.0805625,0.6724968749999999,0.4595692294921875,0.22314651580702427
-2.0847812500000003,0.6768812500000001,0.46366041796875,0.22337194941193314
-2.0845749999999996,0.6505562500000001,0.44070804101562494,0.2126762262591787
-2.0799125000000003,0.6688,0.453243939453125,0.21510809800677017
-2.0972874999999997,0.6922468749999999,0.4852168134765625,0.24492987453058213
-2.0872875,0.6705187499999999,0.4614751269531251,0.22663696651321427
-2.10364375,0.6872593750000001,0.4788674931640625,0.23924458018051006
-2.1019500000000004,0.6868500000000001,0.47842363085937495,0.2396214702050356
-2.07796875,0.65619375,0.43952192187500005,0.20575969764753765
-2.0892,0.6739093749999999,0.46711854003906256,0.2315024147859696
-2.09894375,0.6969718750000001,0.4886325634765625,0.24393731947990427
-2.09718125,0.7003812500000001,0.49499507617187505,0.2533021352974043
-2.0926375,0.6845781249999999,0.47353423144531254,0.23272176865229807
-2.0865625,0.6823656250000001,0.47219308886718747,0.23221822719735516
-2.0703375000000004,0.638284375,0.4286765830078126,0.20500464517061207
-2.090975,0.66291875,0.4551281328125,0.22409945578149223
-2.1112562500000003,0.6859062499999999,0.481135654296875,0.24742939863151153
-2.074275,0.6788781250000001,0.4674404345703125,0.22689695463779228
-2.0855937499999997,0.6719968749999999,0.4619312470703125,0.22698533603951696
-2.0450312500000005,0.6105750000000001,0.39078503124999997,0.17017555282992247
-2.1031999999999997,0.68408125,0.47991749609375006,0.2425972307474655
-2.11650625,0.69733125,0.495945302734375,0.2581145855196211
-2.1005125000000002,0.6953281250000001,0.48829041894531255,0.24595714130000274
-2.0975437500000003,0.6507843750000001,0.4445915654296875,0.21418290854793923
-2.0908125,0.67716875,0.467249935546875,0.2312453976383074
-2.0986187500000004,0.6810437500000002,0.4731263105468751,0.23550799152632926
-2.0610125,0.6629437499999998,0.4441559609375,0.20431391490870168
-2.073175,0.660103125,0.44317107910156245,0.2068014756520906
-2.069975,0.6626781250000002,0.44542713769531256,0.20833044414976207
-2.0973625,0.6928468749999999,0.48222257519531253,0.2362927629970834
-2.07289375,0.6671250000000001,0.45004580859375004,0.20976435761011622
-2.0988625,0.6855281250000002,0.4751045615234375,0.23417310124654758
-2.070325,0.65554375,0.43707849414062494,0.20142269727370585
-2.0796249999999996,0.6550437500000001,0.444905798828125,0.21767492811944827
-2.0868312500000004,0.682075,0.46867493359374995,0.22538345304949878
-2.07513125,0.6736218749999998,0.4583461103515625,0.21733212834100507
-2.08078125,0.6788656250000001,0.4670820751953125,0.22678813152302216
-2.0652500000000003,0.6559875000000001,0.43729850195312503,0.2012742833480196
-2.0965812500000003,0.6825343749999999,0.4770579892578126,0.24276250721756334
-2.09611875,0.6813125000000001,0.46836160156249995,0.22665678697527197
-2.079325,0.6830593749999998,0.47188018847656255,0.23065657359548197
-2.1016750000000006,0.68323125,0.47901952148437504,0.24388862223214244
-2.0621187500000002,0.6416,0.42381842968750005,0.1942836532369507
-2.06665625,0.6295249999999999,0.4222204921875,0.1999571649597118
-2.0117187500000004,0.5556562500000001,0.336678830078125,0.13583062119697134
-2.0828375,0.6512218750000001,0.4353126552734375,0.20391261104120623
-2.0814937500000004,0.629128125,0.41670528027343745,0.19535192284764702
-2.0759375,0.6457749999999999,0.43221197656250004,0.2011435840607891
-2.10005,0.6837812500000001,0.47367131640625004,0.23487739233351212
-2.0963937500000003,0.690753125,0.48238861425781254,0.24093962621567624
-2.0855687499999997,0.6515968750000001,0.44214393847656247,0.21681232751453483
-2.06768125,0.659721875,0.44192271386718746,0.20468079869314532
-2.0921937500000003,0.6838749999999999,0.47215125195312496,0.2305822173516325
-2.1008999999999998,0.6825249999999999,0.475320384765625,0.2378863385084139
-2.10269375,0.6845718749999999,0.47766288964843745,0.24077951960711583
-2.0962000000000005,0.6753531249999999,0.4629066123046875,0.22575040385862033
