# e, |m|, m2, m4 [calculated 2025-01-16 13:13:03.189616]
-1.8153,0.5261499999999999,0.32565124999999995,0.15211800228125
-1.8116000000000003,0.5737000000000001,0.3593410000000001,0.162923809525
-1.9137,0.5885,0.4059109999999999,0.21950464302499997
-1.9674999999999998,0.6442,0.45576949999999994,0.25125712238750003
-1.8649,0.56445,0.3590697500000001,0.16962198314375002
-1.8429,0.57685,0.37132675,0.18024032411875
-1.8695,0.5539499999999999,0.35122375000000006,0.16722502121875
-1.8307,0.5246500000000001,0.32599075,0.14958067294375
-1.8936000000000002,0.58675,0.3903782499999999,0.19787432318124995
-1.8872,0.53695,0.34386125,0.17213978635625002
-1.8717000000000001,0.5898499999999999,0.38032625000000003,0.18110327883125
-2.0065,0.6668999999999999,0.4681465000000001,0.24838170268749998
-1.9909999999999999,0.6379,0.44644000000000006,0.241774830775
-1.8971999999999998,0.5785,0.369002,0.1734847646
-1.8975,0.56445,0.36836874999999997,0.18298065544375003
-1.8215999999999997,0.54085,0.3418457500000001,0.16357945249375
-1.8542,0.5783999999999999,0.37754800000000005,0.18166709274999998
-1.9473000000000003,0.6141000000000001,0.43065600000000004,0.23809889909999998
-1.8991,0.5632,0.37384550000000005,0.19259510791249998
-1.9582,0.61625,0.41670375,0.21442002946875005
-1.8068,0.5418,0.33706949999999997,0.1533244788375
-1.7933,0.5405,0.32162900000000005,0.13237629875
-1.8653000000000004,0.5511,0.35299149999999996,0.1716857318125
-1.861,0.5678500000000001,0.36474075000000006,0.17665997401875
-1.8229999999999997,0.5095,0.30640649999999997,0.13989734966249998
-1.8071000000000004,0.48985000000000006,0.29167025,0.12724857100625
-1.839,0.5454,0.341428,0.16167680559999997
-1.7885,0.46769999999999995,0.286658,0.139695127625
-1.8924999999999996,0.57025,0.37120925,0.18573559855624996
-1.9405,0.61275,0.41595675,0.21692223736874996
-1.9365999999999999,0.63435,0.42968624999999994,0.21953639968125
-1.8643,0.50215,0.31752975,0.15038127984375
-1.8937,0.6167499999999999,0.41070675,0.20537287404375001
-1.8827,0.59105,0.38627875,0.19082889694375002
-1.7982,0.50115,0.32096674999999997,0.16397330181875
-1.8525,0.55935,0.36291325,0.18133401930624998
-1.9062000000000001,0.5906499999999999,0.38209575,0.18077183919375003
-1.8736,0.5829,0.385876,0.19623948205000002
-1.6771000000000003,0.41965,0.21975075000000005,0.08027476591875
-1.7123000000000002,0.45469999999999994,0.25795949999999995,0.10656557163750001
-1.9438000000000002,0.63095,0.42403974999999994,0.21389347736875003
-2.005,0.6437,0.447701,0.236097256625
-1.8779,0.5227499999999999,0.33022725,0.16465360588124997
-1.7720999999999998,0.49585,0.31400725,0.15799884165625
-1.8462000000000003,0.5527,0.35382800000000003,0.16928239752500002
-1.8351999999999997,0.5278499999999999,0.32789375,0.15783498591875
-1.9761000000000002,0.6326999999999999,0.44488500000000003,0.2409435579
-1.8682999999999998,0.5488000000000001,0.3512315000000001,0.1751352969875
-2.0029,0.6583500000000001,0.46633175,0.25509984606875
-1.9055999999999997,0.5893,0.39041600000000004,0.19692553775
-1.8075999999999999,0.49095000000000005,0.28231175000000003,0.11302857891875
-1.8847999999999998,0.5534,0.3529340000000001,0.17139328144999996
-1.872,0.5321999999999999,0.34265750000000006,0.1674575001125
-1.8892000000000002,0.5823,0.37738999999999995,0.18018213035
-1.8857,0.57975,0.37802424999999995,0.18973422413125
-1.9264000000000001,0.60405,0.4050977499999999,0.20415532744375
-1.9424000000000001,0.5851999999999999,0.39282449999999997,0.20389442928749996
-1.9933,0.6759000000000001,0.48404050000000004,0.26483818386249997
-1.9237,0.61405,0.41276575,0.21315580774375
-1.8929999999999998,0.5753499999999999,0.3828547500000001,0.20254373581875001
-1.9083999999999997,0.5876499999999999,0.38026975,0.18394194514375
-1.9198,0.62335,0.42690475,0.22358422721875001
-1.8541000000000003,0.55355,0.34234375,0.15505092041875
-1.9847000000000004,0.6572,0.461545,0.253390382575
-1.8614000000000004,0.5642999999999999,0.34943099999999994,0.156131765625
-1.8072,0.5355,0.32654249999999996,0.1383309064125
-1.8340999999999996,0.5345,0.335154,0.16552055032500002
-1.85,0.55145,0.3530177499999999,0.17169673759375
-1.7734,0.4542,0.273075,0.119649144075
-1.9117999999999997,0.5756,0.37370000000000003,0.183954115925
-1.9156,0.58375,0.3943682499999999,0.20219866665625003
-1.7261999999999997,0.42260000000000003,0.22926850000000001,0.09337950628750001
-1.847,0.5256000000000001,0.32756250000000003,0.1529354997375
-1.9826,0.64605,0.4404747500000001,0.22840973294374997
-1.9641000000000002,0.6325,0.44024750000000007,0.23553785671249997
-1.9027999999999998,0.54775,0.34646725000000006,0.16659051683125004
-1.8317999999999999,0.5395,0.3315584999999999,0.1535012832375
-1.8330000000000002,0.5179,0.33974400000000005,0.168616204725
-1.9312,0.60515,0.41080725000000007,0.21506347033124995
-1.9403000000000004,0.6236,0.421934,0.2135408702
-1.9235999999999998,0.5994,0.41005850000000005,0.22213423763749998
-1.8442999999999996,0.5537500000000001,0.34123175000000006,0.15305699204375
-1.8751,0.55165,0.35949725,0.17879126410625001
-1.8698000000000001,0.5367999999999999,0.33021999999999996,0.1474996552
-1.8267999999999998,0.5760000000000001,0.36887649999999994,0.17674454556250002
-1.7929000000000002,0.4831,0.2859,0.11720735962500002
-1.7382,0.4914,0.27835550000000003,0.10704555353749999
-1.8866,0.59105,0.37512124999999996,0.17049543565624997
-1.7662000000000004,0.46484999999999993,0.26627675,0.10841236641875
-1.9723000000000002,0.63185,0.42862674999999995,0.22092601781874996
