# beta, U, e_U, chi e_chi [calculated 2025-01-23 18:37:43.466473 on topology: triangular, using blocked data with block length: 100]
0.26215307216702743,2.43316457947004,0.004953469427721661,65.8478337929846,5.646215491358131e-5
0.2624932082214492,2.404234236565993,0.004868260642838761,68.6161317223288,6.370218563508774e-5
0.26283334427587096,2.388261169940032,0.0046370273089022225,71.27212953725002,5.621024054935878e-5
0.26317348033029275,2.3536345518212904,0.004201751256194514,74.15277380279716,6.814828974892635e-5
0.2635136163847145,2.3258906706000455,0.0035427779542858205,77.00760193978061,5.501157712273793e-5
0.2638537524391363,2.293580495822109,0.004246053741852768,80.42522226865735,6.35056978918353e-5
0.26419388849355807,2.2628621473656643,0.0043063838810089156,83.41659038257197,6.201171861880785e-5
0.2645340245479798,2.2227834721905286,0.0037721151854953013,86.90985279519356,6.52015508814705e-5
0.2648741606024016,2.182855869502801,0.0039667769620924925,90.10245437462612,6.26363836361471e-5
0.2652142966568234,2.1574556226225345,0.00395468191316795,93.93432065534977,6.512614085955584e-5
0.2655544327112451,2.1188760237116826,0.003280842078966584,97.58935987303751,7.438159365851279e-5
0.2658945687656669,2.0773415683034413,0.003567978481088089,101.57389445321085,6.555672874841145e-5
0.26623470482008865,2.033191518181974,0.0033224232005176326,105.1052193760416,6.428974066278609e-5
0.26657484087451044,2.000870154227462,0.003660969240893741,109.04598409272396,7.340007029674092e-5
0.26691497692893223,1.9561044915697359,0.003372978336148784,112.6208481177771,6.634566254517206e-5
0.26725511298335397,1.9139379182867131,0.00296931114976857,116.32501184267932,6.357851326056216e-5
0.26759524903777576,1.8714373926966112,0.0030452807972957178,119.65094437570787,7.645317247765903e-5
0.2679353850921975,1.8243565712843464,0.0025994052389160726,123.59730607735962,6.519119901396067e-5
0.2682755211466193,1.7814750940594275,0.00302651676583982,127.02685357932546,7.657788314549053e-5
0.2686156572010411,1.7393089426028543,0.002832699299269086,129.94061965339165,6.810263533898824e-5
0.2689557932554628,1.6933459528988166,0.00237253108133319,132.66020598918848,6.40036061123254e-5
0.2692959293098846,1.6537096536514382,0.002455277606811632,134.6688409514567,8.097258894940217e-5
0.26963606536430634,1.6090364812253741,0.002387930273685531,136.51803387369443,7.982940769888007e-5
0.26997620141872813,1.5639553019944843,0.0018958092125098667,137.10635879245058,7.774205997705645e-5
0.2703163374731499,1.527791141507683,0.002062837363052941,138.25011114715272,7.533879150348084e-5
0.27065647352757166,1.4927648136509502,0.00195794306241408,138.31957529295195,7.482849730276858e-5
0.27099660958199345,1.4529810624248685,0.0017245203954789517,137.31494349492357,7.124540458706214e-5
0.27133674563641524,1.4198837717856128,0.0017333124056645335,136.38716519651138,9.100257762089127e-5
0.271676881690837,1.3817676241921664,0.0015171516987735549,133.3790773871252,0.00010036436958074851
0.27201701774525877,1.3463559461587913,0.0014827376385813367,129.8613367152664,0.00010563661372256245
0.2723571537996805,1.3205616352257104,0.001464706470431191,127.20316521956802,0.00010501376541868734
0.2726972898541023,1.2902296552715935,0.0013092794943163118,122.28925448946748,0.00010625825842515642
0.2730374259085241,1.262988330881508,0.0013290772427525242,116.80742176517462,0.00012189464020916191
0.2733775619629458,1.2394364425909292,0.0011259908014138818,111.93020569921192,0.00012128701801769947
0.2737176980173676,1.2162253198499853,0.0008983984858528544,106.10594481598412,0.00010083527511884438
0.27405783407178935,1.1971370741996725,0.0010048834610336481,100.66972130937447,0.00012607179283635758
0.27439797012621114,1.1785752725225904,0.000689285959192545,94.59475753992159,0.00010242729875780953
0.27473810618063293,1.1598656444777105,0.00078594905333269,87.95719369879988,0.00012222063633557126
0.27507824223505467,1.143073182184099,0.0006750142676402318,80.81155611003665,0.00010730699297546961
0.27541837828947646,1.1293945235237666,0.0006135656201256318,75.20525734570582,0.00010335491715185458
0.2757585143438982,1.1181300557864227,0.0006451906325150519,70.24023900516258,0.00011700041247021106
0.27609865039832,1.1051152546807392,0.0005265046436900431,63.67131464514699,0.00010029521762165776
0.2764387864527418,1.094583896217089,0.00048010249522387156,58.2341644527868,9.481021167129773e-5
0.2767789225071635,1.0860518907317864,0.00040071452661267956,53.68397312737645,8.451141181132647e-5
0.2771190585615853,1.0780455762916163,0.000407177110726885,49.28820177644171,8.290318847069329e-5
0.2774591946160071,1.0701858581576413,0.0003661039168485543,44.66122504829062,8.127235732088937e-5
0.27779933067042883,1.06333969350798,0.00033941681511774613,40.5289769820246,7.482948633866938e-5
0.2781394667248506,1.0570344123919317,0.00027807096260248107,36.6019847465197,6.842592573291098e-5
0.27847960277927236,1.0525628568731733,0.0002651548979557346,33.90199926342727,5.985476414714437e-5
0.27881973883369415,1.0476293365971994,0.00024777553175293475,30.75006082000664,6.071763504438479e-5
