# e, |m|, m2, m4 [calculated 2025-01-16 12:55:05.507987]
-2.07, 0.765, 0.585225, 0.342488300625
-2.3, 0.795, 0.6320250000000001, 0.3994556006250001
-2.23, 0.715, 0.5112249999999999, 0.26135100062499994
-2.28, 0.745, 0.555025, 0.308052750625
-2.33, 0.765, 0.585225, 0.342488300625
-2.27, 0.81, 0.6561000000000001, 0.4304672100000001
-2.48, 0.885, 0.7832250000000001, 0.6134414006250001
-2.2, 0.83, 0.6889, 0.4745832099999999
-2.36, 0.855, 0.7310249999999999, 0.5343975506249999
-2.09, 0.76, 0.5776, 0.33362176
-2.2, 0.805, 0.6480250000000001, 0.4199364006250001
-2.38, 0.875, 0.765625, 0.586181640625
-2.13, 0.795, 0.6320250000000001, 0.3994556006250001
-2.27, 0.83, 0.6889, 0.4745832099999999
-2.3, 0.835, 0.697225, 0.4861227006249999
-2.41, 0.865, 0.748225, 0.559840650625
-2.23, 0.795, 0.6320250000000001, 0.3994556006250001
-2.22, 0.78, 0.6084, 0.3701505600000001
-2.1, 0.775, 0.6006250000000001, 0.36075039062500003
-1.81, 0.485, 0.235225, 0.055330800624999996
-1.83, 0.62, 0.3844, 0.14776335999999998
-1.85, 0.625, 0.390625, 0.152587890625
-1.8, 0.41, 0.16809999999999997, 0.028257609999999992
-1.92, 0.57, 0.32489999999999997, 0.10556000999999997
-2.37, 0.825, 0.6806249999999999, 0.4632503906249999
-2.38, 0.83, 0.6889, 0.4745832099999999
-2.37, 0.83, 0.6889, 0.4745832099999999
-2.5, 0.88, 0.7744, 0.59969536
-2.68, 0.94, 0.8835999999999999, 0.7807489599999998
-2.57, 0.92, 0.8464, 0.7163929600000001
-2.57, 0.9, 0.81, 0.6561
-2.46, 0.895, 0.801025, 0.6416410506250001
-2.13, 0.77, 0.5929, 0.35153041
-2.52, 0.9, 0.81, 0.6561
-2.67, 0.925, 0.8556250000000001, 0.7320941406250001
-2.39, 0.87, 0.7569, 0.57289761
-2.23, 0.815, 0.664225, 0.44119485062499986
-2.17, 0.82, 0.6723999999999999, 0.4521217599999999
-2.18, 0.81, 0.6561000000000001, 0.4304672100000001
-2.19, 0.76, 0.5776, 0.33362176
-2.17, 0.785, 0.616225, 0.3797332506250001
-2.3, 0.825, 0.6806249999999999, 0.4632503906249999
-2.53, 0.9, 0.81, 0.6561
-2.27, 0.87, 0.7569, 0.57289761
-2.13, 0.755, 0.570025, 0.324928500625
-2.08, 0.7, 0.48999999999999994, 0.24009999999999995
-1.86, 0.515, 0.265225, 0.07034430062500001
-1.9, 0.7, 0.48999999999999994, 0.24009999999999995
-2.25, 0.785, 0.616225, 0.3797332506250001
-1.94, 0.555, 0.30802500000000005, 0.09487940062500003
-1.66, 0.525, 0.275625, 0.07596914062500001
-1.64, 0.53, 0.28090000000000004, 0.07890481000000002
-1.74, 0.6, 0.36, 0.1296
-1.84, 0.655, 0.42902500000000005, 0.18406245062500004
-2.18, 0.715, 0.5112249999999999, 0.26135100062499994
-2.26, 0.795, 0.6320250000000001, 0.3994556006250001
-2.12, 0.775, 0.6006250000000001, 0.36075039062500003
-1.94, 0.325, 0.10562500000000001, 0.011156640625000002
-1.79, 0.285, 0.08122499999999999, 0.006597500624999998
-2.07, 0.765, 0.585225, 0.342488300625
-2.15, 0.81, 0.6561000000000001, 0.4304672100000001
-2.31, 0.86, 0.7395999999999999, 0.54700816
-2.35, 0.875, 0.765625, 0.586181640625
-2.4, 0.88, 0.7744, 0.59969536
-2.26, 0.855, 0.7310249999999999, 0.5343975506249999
-2.39, 0.87, 0.7569, 0.57289761
-2.42, 0.875, 0.765625, 0.586181640625
-2.31, 0.85, 0.7224999999999999, 0.5220062499999999
-2.23, 0.815, 0.664225, 0.44119485062499986
-2.36, 0.865, 0.748225, 0.559840650625
-2.21, 0.795, 0.6320250000000001, 0.3994556006250001
-2.3, 0.865, 0.748225, 0.559840650625
-2.55, 0.915, 0.8372250000000001, 0.7009457006250001
-2.38, 0.86, 0.7395999999999999, 0.54700816
-2.26, 0.82, 0.6723999999999999, 0.4521217599999999
-2.22, 0.81, 0.6561000000000001, 0.4304672100000001
-2.06, 0.745, 0.555025, 0.308052750625
-2.24, 0.695, 0.4830249999999999, 0.23331315062499994
-2.2, 0.65, 0.42250000000000004, 0.17850625000000003
-1.79, 0.585, 0.34222499999999995, 0.11711795062499997
-1.93, 0.575, 0.33062499999999995, 0.10931289062499996
-1.95, 0.705, 0.49702499999999994, 0.24703385062499994
-1.93, 0.7, 0.48999999999999994, 0.24009999999999995
-2.38, 0.87, 0.7569, 0.57289761
-2.32, 0.865, 0.748225, 0.559840650625
-2.31, 0.845, 0.7140249999999999, 0.5098317006249999
-2.6, 0.93, 0.8649000000000001, 0.7480520100000002
-2.27, 0.735, 0.540225, 0.291843050625
-2.54, 0.9, 0.81, 0.6561
-2.58, 0.875, 0.765625, 0.586181640625
-2.53, 0.865, 0.748225, 0.559840650625
-2.3, 0.85, 0.7224999999999999, 0.5220062499999999
-2.43, 0.85, 0.7224999999999999, 0.5220062499999999
-2.36, 0.81, 0.6561000000000001, 0.4304672100000001
