# e, |m|, m2, m4 [calculated 2025-01-16 12:54:06.576816]
-1.18, 0.085, 0.007225000000000001, 5.220062500000002e-5
-1.1, 0.16, 0.0256, 0.00065536
-1.1, 0.205, 0.04202499999999999, 0.0017661006249999995
-1.16, 0.06, 0.0036, 1.2959999999999998e-5
-1.17, 0.065, 0.0042250000000000005, 1.7850625000000003e-5
-1.18, 0.1, 0.010000000000000002, 0.00010000000000000002
-1.26, 0.26, 0.06760000000000001, 0.004569760000000001
-1.29, 0.27, 0.0729, 0.005314410000000001
-1.47, 0.04, 0.0016, 2.56e-6
-1.36, 0.09, 0.0081, 6.560999999999999e-5
-1.33, 0.22, 0.0484, 0.00234256
-1.42, 0.185, 0.034225, 0.001171350625
-1.36, 0.065, 0.0042250000000000005, 1.7850625000000003e-5
-1.56, 0.555, 0.30802500000000005, 0.09487940062500003
-1.54, 0.55, 0.30250000000000005, 0.09150625000000003
-1.46, 0.24, 0.0576, 0.0033177599999999995
-1.49, 0.245, 0.060024999999999995, 0.0036030006249999995
-1.5, 0.225, 0.050625, 0.002562890625
-1.5, 0.235, 0.055224999999999996, 0.0030498006249999993
-1.49, 0.1, 0.010000000000000002, 0.00010000000000000002
-1.64, 0.57, 0.32489999999999997, 0.10556000999999997
-1.65, 0.545, 0.29702500000000004, 0.08822385062500003
-1.58, 0.445, 0.198025, 0.039213900625
-1.5, 0.13, 0.016900000000000002, 0.00028561000000000005
-1.48, 0.125, 0.015625, 0.000244140625
-1.66, 0.35, 0.12249999999999998, 0.015006249999999997
-1.66, 0.43, 0.18489999999999998, 0.03418801
-1.36, 0.05, 0.0025000000000000005, 6.250000000000001e-6
-1.33, 0.06, 0.0036, 1.2959999999999998e-5
-1.38, 0.005, 2.5e-5, 6.25e-10
-1.44, 0.245, 0.060024999999999995, 0.0036030006249999995
-1.26, 0.135, 0.018225, 0.0003321506250000001
-1.26, 0.13, 0.016900000000000002, 0.00028561000000000005
-1.27, 0.135, 0.018225, 0.0003321506250000001
-1.27, 0.14, 0.019600000000000003, 0.00038416000000000014
-1.14, 0.195, 0.038025, 0.0014459006250000003
-1.1, 0.06, 0.0036, 1.2959999999999998e-5
-1.29, 0.235, 0.055224999999999996, 0.0030498006249999993
-1.32, 0.22, 0.0484, 0.00234256
-1.19, 0.215, 0.046224999999999995, 0.002136750625
-1.23, 0.29, 0.0841, 0.007072809999999998
-1.13, 0.215, 0.046224999999999995, 0.002136750625
-1.32, 0.385, 0.148225, 0.021970650625
-1.4, 0.335, 0.11222500000000002, 0.012594450625000003
-1.42, 0.34, 0.11560000000000002, 0.013363360000000005
-1.43, 0.335, 0.11222500000000002, 0.012594450625000003
-1.45, 0.34, 0.11560000000000002, 0.013363360000000005
-1.58, 0.395, 0.15602500000000002, 0.024343800625000005
-1.63, 0.41, 0.16809999999999997, 0.028257609999999992
-1.47, 0.14, 0.019600000000000003, 0.00038416000000000014
-1.68, 0.235, 0.055224999999999996, 0.0030498006249999993
-1.68, 0.21, 0.04409999999999999, 0.0019448099999999997
-1.51, 0.315, 0.09922500000000001, 0.009845600625000001
-1.28, 0.045, 0.002025, 4.100624999999999e-6
-1.27, 0.065, 0.0042250000000000005, 1.7850625000000003e-5
-1.37, 0.175, 0.030624999999999996, 0.0009378906249999998
-1.36, 0.17, 0.028900000000000006, 0.0008352100000000003
-1.34, 0.03, 0.0009, 8.099999999999999e-7
-1.29, 0.03, 0.0009, 8.099999999999999e-7
-1.26, 0.06, 0.0036, 1.2959999999999998e-5
-1.37, 0.04, 0.0016, 2.56e-6
-1.41, 0.0, 0.0, 0.0
-1.42, 0.005, 2.5e-5, 6.25e-10
-1.36, 0.22, 0.0484, 0.00234256
-1.35, 0.29, 0.0841, 0.007072809999999998
