# Energy, Magnetization, Magnetization2, Magnetization4
-2.152, -0.676, 0.45697600000000005, 0.20882706457600006
-2.1872, 0.8096, 0.65545216, 0.4296175340486656
-1.9376, 0.604, 0.364816, 0.133090713856
-2.0208, 0.7136, 0.5092249600000001, 0.2593100598870016
-2.1536, -0.7664, 0.5873689599999999, 0.34500229517148157
-1.9936, 0.5024, 0.25240576, 0.06370866768117758
-2.1696, -0.728, 0.529984, 0.28088304025599997
-1.984, -0.6624, 0.43877376, 0.19252241246453758
-2.0064, 0.5944, 0.3533113600000001, 0.12482891710504963
-2.0608, 0.64, 0.4096, 0.16777216
-2.0944, -0.7608, 0.57881664, 0.33502870274088964
-2.1264, -0.7816, 0.61089856, 0.3731970506100735
-2.168, 0.7072, 0.5001318400000001, 0.25013185738178567
-2.208, 0.7984, 0.63744256, 0.4063330172993536
-2.0368, 0.5752, 0.33085504000000004, 0.10946505749340163
-1.9376, 0.6552, 0.42928704, 0.1842873627119616
-1.8592, 0.1208, 0.01459264, 0.00021294514216960004
-2.0512, -0.6408, 0.41062464000000004, 0.16861259497512965
-2.1584, 0.7648, 0.5849190400000001, 0.34213028335452167
-1.8544, -0.5544, 0.30735936, 0.0944697761796096
-2.0672, 0.692, 0.47886399999999996, 0.22931073049599993
-2.1952, 0.7672, 0.58859584, 0.3464450628653056
-2.0608, 0.5496, 0.30206015999999997, 0.09124034025922559
-1.992, 0.484, 0.234256, 0.05487587353599999
-2.0848, 0.7432, 0.55234624, 0.3050863688421376
-2.1712, 0.7528, 0.5667078400000001, 0.32115777591746564
-2.1072, -0.7064, 0.49900096000000005, 0.24900195808092163
-2.2448, 0.8184, 0.66977856, 0.4486033194356736
-2.072, -0.688, 0.47334399999999993, 0.22405454233599992
-1.9664, -0.5824, 0.33918976, 0.11504969328885763
-2.0624, 0.7352, 0.54051904, 0.29216083260252157
-2.0272, 0.5072, 0.25725184, 0.0661785091833856
-2.2912, -0.78, 0.6084, 0.3701505600000001
-2.152, 0.7368, 0.5428742400000001, 0.2947124404555776
-1.9776, 0.716, 0.512656, 0.26281617433599996
-2.1232, -0.6824, 0.46566976, 0.2168483253784576
-2.0448, 0.7104, 0.50466816, 0.25468995171778563
-2.1456, -0.8056, 0.64899136, 0.42118978535464957
-2.12, 0.7416, 0.5499705600000001, 0.30246761686671364
-2.1008, 0.7032, 0.4944902400000001, 0.24452059745525767
-2.1968, -0.7968, 0.6348902399999999, 0.4030856168472575
-2.1952, -0.7904, 0.62473216, 0.3902902717382656
-2.0992, 0.736, 0.541696, 0.29343455641599997
-1.9856, 0.6264, 0.39237695999999994, 0.15395967873884156
-2.0928, -0.7248, 0.52533504, 0.2759769042518016
-2.1984, 0.7584, 0.57517056, 0.3308211730907135
-2.0016, -0.6864, 0.47114496, 0.22197757333340162
-1.9872, 0.6152, 0.37847104, 0.14324032811868156
-2.0592, 0.6672, 0.44515584, 0.19816372188610562
-1.9664, 0.6368, 0.40551424, 0.16444179884277763
-1.9552, -0.3952, 0.15618304, 0.0243931419836416
-1.928, 0.428, 0.18318399999999999, 0.033556377856
-1.88, 0.2576, 0.06635776, 0.0044033523122176
-2.2384, 0.7968, 0.6348902399999999, 0.4030856168472575
-2.0176, -0.6888, 0.47444543999999994, 0.22509847553679355
-2.144, -0.756, 0.571536, 0.326653399296
-2.072, -0.72, 0.5184, 0.26873855999999996
-2.2224, 0.808, 0.6528640000000001, 0.4262314024960001
-2.1616, -0.7256, 0.5264953600000001, 0.2771973641015296
-1.96, 0.648, 0.419904, 0.17631936921600003
-2.1632, 0.7824, 0.61214976, 0.3747273286680576
-1.9376, -0.5528, 0.30558783999999994, 0.09338392795586557
-2.1056, 0.7304, 0.5334841600000001, 0.28460534897090567
-2.1504, 0.7728, 0.5972198400000001, 0.3566715372896257
-2.1648, 0.7664, 0.5873689599999999, 0.34500229517148157
-1.904, -0.376, 0.141376, 0.019987173376
-2.0256, -0.5464, 0.29855296, 0.08913386992476159
-2.1488, -0.7344, 0.53934336, 0.29089125997608967
