# Energy, Magnetization, Magnetization2, Magnetization4
-2.395,0.04875,0.79171875,0.69560302734375
-2.3525,0.08,0.7778125,0.6776611328125
-2.2225,-0.00875,0.74140625,0.63212158203125
-2.4025,0.00375,0.79453125,0.71140869140625
-2.41,0.1025,0.7940625,0.7042822265625
-2.3225,-0.08625,0.77265625,0.67383056640625
-2.3625,-0.05375,0.79140625,0.70078369140625
-2.3925,-0.095,0.7884375,0.6897216796875
-2.3825,-0.00875,0.79328125,0.67986572265625
-2.33,0.1075,0.775625,0.674521484375
-2.2625,0.1825,0.75125,0.651376953125
-2.2125,0.13125,0.73390625,0.63071533203125
-2.465,0.0,0.8246875,0.7280517578125
-2.2925,0.0525,0.755625,0.657041015625
-2.31,0.0,0.77,0.65873046875
-2.315,0.08,0.765625,0.668212890625
-2.345,-0.06,0.7784375,0.6784912109375
-2.2975,0.005,0.7596875,0.6477587890625
-2.335,0.04875,0.76921875,0.68121826171875
-2.3125,-0.13625,0.76828125,0.66966064453125
-2.2475,0.08375,0.74828125,0.64602783203125
-2.44,0.13625,0.81171875,0.72026123046875
-2.18,0.05875,0.72171875,0.61906982421875
-2.3275,-0.12375,0.77171875,0.67328857421875
-2.325,0.01125,0.77421875,0.68756591796875
-2.365,0.06625,0.78453125,0.68063720703125
-2.36,-0.07875,0.78171875,0.68797607421875
-2.3125,0.08625,0.77203125,0.65419189453125
-2.31,0.04625,0.75921875,0.65736083984375
-2.3425,0.07375,0.77171875,0.67988037109375
-2.135,-0.00375,0.70734375,0.58749755859375
-2.38,0.18,0.7903125,0.6821630859375
-2.3875,-0.2475,0.7971875,0.7071435546875
-2.4,-0.1575,0.7928125,0.7080712890625
-2.3675,-0.05625,0.78859375,0.69590576171875
-2.3875,-0.11875,0.79671875,0.70511474609375
-2.3325,0.02375,0.77265625,0.66677001953125
-2.3425,0.23375,0.77421875,0.69257568359375
-2.4075,0.1625,0.8021875,0.7020068359375
-2.2675,-0.00625,0.75421875,0.64966552734375
-2.355,-0.15875,0.78859375,0.68383544921875
-2.365,-0.14375,0.78609375,0.68833740234375
-2.3525,0.03375,0.77859375,0.67641357421875
-2.42,0.02625,0.80453125,0.71657470703125
-2.3225,-0.08125,0.77328125,0.68570556640625
-2.3475,-0.1675,0.7775,0.659111328125
-2.3525,-0.0175,0.7778125,0.6852197265625
-2.2425,0.09875,0.73484375,0.62569091796875
-2.355,-0.07625,0.78546875,0.68574951171875
-2.305,-0.06375,0.76640625,0.66333251953125
