# L, beta_min, beta_max [calculated 2025-01-21 10:24:53.023019 on topology: triangular]
20, 0.23715307216702744, 0.28715307216702746
40, 0.25590307216702746, 0.2809030721670275
60, 0.26215307216702743, 0.27881973883369415
80, 0.2652780721670275, 0.27777807216702743
100, 0.26715307216702744, 0.27715307216702745
120, 0.26840307216702747, 0.27673640550036077
140, 0.2692959293098846, 0.2764387864527417
160, 0.26996557216702743, 0.2762155721670274
