# L, beta_min, beta_max [calculated 2025-01-14 13:45:58.108158]
20, 0.24465307216702745, 0.29465307216702746
40, 0.25965307216702743, 0.28465307216702745
60, 0.26465307216702744, 0.28131973883369416
80, 0.2671530721670275, 0.27965307216702745
100, 0.26865307216702744, 0.27865307216702745
120, 0.26965307216702744, 0.27798640550036074
140, 0.27036735788131316, 0.2775102150241703
160, 0.27090307216702747, 0.27715307216702745
