# L, beta_pc, chi_max [calculated 2025-01-21 10:24:53.459168 on topology: triangular]
20, 0.26215307216702743, 18.914832180063517
40, 0.26840307216702747, 63.62165830136405
60, 0.2704864055003608, 129.34948030671032
80, 0.27152807216702746, 213.99689759245504
100, 0.27215307216702744, 316.22776601683796
120, 0.2725697388336941, 435.0780572193746
140, 0.27286735788131317, 569.802122228855
160, 0.2730905721670274, 719.7968962436469
