# L, beta_pc, chi_max [calculated 2025-01-18 10:28:59.407774 on topology: hexagonal]
20, 0.6534789484624083, 18.914832180063517
40, 0.6559789484624083, 63.62165830136405
60, 0.6568122817957416, 129.34948030671032
80, 0.6572289484624083, 213.99689759245504
100, 0.6574789484624083, 316.22776601683796
120, 0.6576456151290749, 435.0780572193746
140, 0.6577646627481226, 569.802122228855
160, 0.6578539484624083, 719.7968962436469
