# L, beta_min, beta_max [calculated 2025-01-21 10:39:33.959485 on topology: hexagonal]
20, 0.6009789484624083, 0.6709789484624084
40, 0.6297289484624083, 0.6647289484624083
60, 0.6393122817957416, 0.662645615129075
80, 0.6441039484624083, 0.6616039484624083
100, 0.6469789484624083, 0.6609789484624083
120, 0.6488956151290749, 0.6605622817957416
140, 0.6502646627481226, 0.6602646627481226
160, 0.6512914484624083, 0.6600414484624083
