# L, beta_min, beta_max [calculated 2025-01-24 11:39:29.615764 on topology: hexagonal]
20, 0.6044789484624083, 0.6674789484624083
40, 0.6314789484624083, 0.6629789484624083
60, 0.6404789484624084, 0.6614789484624083
80, 0.6449789484624083, 0.6607289484624083
100, 0.6476789484624084, 0.6602789484624083
120, 0.6494789484624083, 0.6599789484624082
140, 0.6507646627481226, 0.6597646627481225
160, 0.6517289484624083, 0.6596039484624083
