# L, beta_min, beta_max [calculated 2025-01-24 15:07:06.995907 on topology: triangular]
20, 0.24965307216702742, 0.27465307216702745
40, 0.2621530721670275, 0.27465307216702745
60, 0.26631973883369414, 0.27465307216702745
80, 0.26840307216702747, 0.27465307216702745
100, 0.26965307216702744, 0.27465307216702745
120, 0.2704864055003608, 0.27465307216702745
140, 0.2710816435955989, 0.27465307216702745
160, 0.2715280721670274, 0.27465307216702745
